Date,Sensor Log,Tempature (°C),Tempature (°F),Heat Index (°C),Heat Index (°F),Humidity (%),Air Quality (ppm),Light Intensity (lux),Pressure (hPa),Fire Status,Activity Status
"Friday,08-December-2023||16:15:51",23,27.9,82.22,30.24,86.42,68.1,1.28,81.95,1001.49,0,0
"Friday,08-December-2023||16:15:57",24,27.9,82.22,30.22,86.4,68,1.24,79.84,1001.49,0,0
"Friday,08-December-2023||16:16:04",25,27.9,82.22,30.25,86.45,68.2,1.24,80.73,1001.49,0,0
"Friday,08-December-2023||16:16:11",26,27.9,82.22,30.29,86.51,68.5,1.35,78.77,1001.5,0,0
"Friday,08-December-2023||16:16:17",27,27.9,82.22,30.26,86.47,68.3,1.3,83.82,1001.49,0,1
"Friday,08-December-2023||16:16:23",28,27.8,82.04,30.07,86.12,68.2,1.29,77.25,1001.5,0,0
"Friday,08-December-2023||16:16:30",29,27.8,82.04,30.06,86.1,68.1,1.32,76.69,1001.5,0,0
"Friday,08-December-2023||16:16:41",30,27.8,82.04,30.04,86.08,68,1.3,71.56,1001.51,0,1
"Friday,08-December-2023||16:16:48",31,27.8,82.04,30.09,86.16,68.4,1.29,79.39,1001.52,0,0
"Friday,08-December-2023||16:16:57",32,27.8,82.04,30.1,86.19,68.5,1.35,81.91,1001.52,0,0
"Friday,08-December-2023||16:17:04",33,27.8,82.04,30.11,86.21,68.6,1.33,82.45,1001.52,0,1
"Friday,08-December-2023||16:17:12",34,27.8,82.04,30.09,86.16,68.4,1.36,84.38,1001.51,0,0
"Friday,08-December-2023||16:17:18",35,27.8,82.04,30.07,86.12,68.2,1.32,84.57,1001.52,0,0
"Friday,08-December-2023||16:17:24",36,27.8,82.04,30.04,86.08,68,1.34,83.82,1001.52,0,0
"Friday,08-December-2023||16:17:31",37,27.8,82.04,30.04,86.08,68,1.35,84.12,1001.53,0,0
"Friday,08-December-2023||16:17:38",38,27.8,82.04,30.04,86.08,68,1.36,80.57,1001.53,0,0
"Friday,08-December-2023||16:17:44",39,27.8,82.04,30.04,86.08,68,1.35,82.49,1001.54,0,1
"Friday,08-December-2023||16:17:52",40,27.9,82.22,30.22,86.4,68,1.35,83.82,1001.54,0,0
"Friday,08-December-2023||16:17:59",41,27.8,82.04,30.08,86.14,68.3,1.37,82.61,1001.54,0,1
"Friday,08-December-2023||16:18:05",42,27.8,82.04,30.09,86.16,68.4,1.35,81.36,1001.54,0,0
"Friday,08-December-2023||16:18:15",43,27.8,82.04,30.1,86.19,68.5,1.35,78.19,1001.54,0,0
"Friday,08-December-2023||16:18:23",0,27.8,82.04,30.13,86.23,68.7,1.35,81.44,1001.56,0,0
"Friday,08-December-2023||16:18:30",1,27.8,82.04,30.11,86.21,68.6,1.22,80.08,1001.56,0,0
"Friday,08-December-2023||16:18:37",2,27.7,81.86,29.95,85.9,68.7,1.42,77.51,1001.58,0,1
"Friday,08-December-2023||16:18:43",3,27.7,81.86,29.95,85.9,68.7,1.35,76.26,1001.58,1,0
"Friday,08-December-2023||16:18:50",4,27.8,82.04,30.11,86.21,68.6,1.35,78.65,1001.58,1,1
"Friday,08-December-2023||16:18:55",5,27.8,82.04,30.11,86.21,68.6,1.35,79.43,1001.58,1,0
"Friday,08-December-2023||16:19:02",6,27.8,82.04,30.14,86.25,68.8,1.39,78.06,1001.57,0,0
"Friday,08-December-2023||16:19:08",7,27.8,82.04,30.14,86.25,68.8,1.37,78.52,1001.59,0,1
"Friday,08-December-2023||16:19:14",8,27.7,81.86,29.97,85.94,68.9,1.37,73.85,1001.58,0,0
"Friday,08-December-2023||16:19:21",9,27.8,82.04,30.17,86.32,69.1,1.38,74.44,1001.58,0,0
"Friday,08-December-2023||16:19:30",10,27.8,82.04,30.14,86.25,68.8,1.36,79.84,1001.58,0,0
"Friday,08-December-2023||16:19:36",11,27.8,82.04,30.11,86.21,68.6,1.38,82.53,1001.6,0,0
"Friday,08-December-2023||16:19:43",12,27.8,82.04,30.1,86.19,68.5,1.4,81.36,1001.59,0,1
"Friday,08-December-2023||16:19:50",13,27.8,82.04,30.11,86.21,68.6,1.38,82.57,1001.6,0,1
"Friday,08-December-2023||16:19:57",14,27.8,82.04,30.13,86.23,68.7,1.37,79.35,1001.6,0,0
"Friday,08-December-2023||16:20:03",15,27.8,82.04,30.13,86.23,68.7,1.36,78.31,1001.61,0,0
"Friday,08-December-2023||16:20:09",16,27.7,81.86,29.99,85.99,69.1,1.42,77.51,1001.62,0,0
"Friday,08-December-2023||16:20:15",17,27.7,81.86,29.97,85.94,68.9,1.34,70.79,1001.63,0,0
"Friday,08-December-2023||16:20:22",18,27.7,81.86,29.99,85.99,69.1,1.4,79.35,1001.64,0,0
"Friday,08-December-2023||16:20:29",19,27.7,81.86,29.96,85.92,68.8,1.45,80.29,1001.65,0,1
"Friday,08-December-2023||16:20:35",20,27.7,81.86,29.96,85.92,68.8,1.42,74.35,1001.65,0,0
"Friday,08-December-2023||16:20:42",21,27.6,81.68,29.92,85.86,70.1,1.42,77.42,1001.65,0,0
"Friday,08-December-2023||16:20:59",23,28,82.4,30.91,87.64,71.8,1.51,84.35,1001.67,0,1
"Friday,08-December-2023||16:21:05",24,28.7,83.66,31.73,89.12,67.9,1.41,84.05,1001.67,0,1
"Friday,08-December-2023||16:21:12",25,29.4,84.92,32.92,91.25,66.5,1.41,84.16,1001.68,0,0
"Friday,08-December-2023||16:21:18",26,30,86,33.82,92.87,64.7,1.45,87.01,1001.69,0,0
"Friday,08-December-2023||16:21:24",27,31,87.8,35.3,95.54,61.8,1.43,86.31,1001.7,0,0
"Friday,08-December-2023||16:21:30",28,31.7,89.06,36.27,97.28,59.6,1.47,76.91,1001.69,0,1
